pik	state
"138"	2
"177"	87
"146"	71
"104"	21
"083"	13
"115"	28
"170"	65
"051"	35
"054"	99
"111"	2
"008"	37
"160"	45
"030"	14
"026"	59
"039"	60
"009"	2
"188"	63
"001"	24
"162"	59
"064"	36
"175"	32
"183"	97
"003"	81
"176"	69
"108"	91
"194"	88
"015"	80
"062"	37
"029"	41
"200"	98
"178"	47
"074"	36
"125"	70
"035"	55
"148"	47
"110"	56
"082"	13
"084"	10
"081"	60
"031"	4
"048"	10
"116"	98
"065"	54
"193"	55
"129"	91
"073"	11
"077"	51
"158"	36
"195"	2
"021"	87
"096"	14
"127"	37
"174"	96
"117"	0
"112"	95
"090"	91
"004"	24
"086"	52
"050"	82
"020"	66
"032"	62
"052"	18
"153"	84
"002"	48
"059"	64
"122"	3
"171"	75
"142"	9
"037"	36
"012"	61
"123"	50
"159"	2
"131"	54
"114"	5
"024"	48
"033"	68
"168"	72
"186"	74
"072"	69
"010"	38
"196"	80
"027"	46
"169"	88
"181"	53
"017"	46
"058"	78
"173"	52
"155"	75
"080"	19
"044"	66
"189"	16
"016"	92
"038"	40
"007"	1
"100"	81
"056"	18
"013"	3
"157"	20
"150"	21
"102"	41
"079"	33
"121"	29
"113"	11
"025"	8
"149"	16
